GWAS Trait	Gene	MR_outcome	MR_exposure	method	nsnp	b	se	pval	MR_dir	MR_source	MR_QTL
SCZ	UBASH3B	SCZ	UBASH3B	Wald ratio	1	-0.119754377	0.046750327	1.04E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	DIP2A	SCZ	DIP2A	Wald ratio	1	-0.080117811	0.031284098	1.04E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ITGA9	SCZ	ITGA9	Inverse variance weighted	2	0.04658665	0.018202601	1.05E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ARID5A	SCZ	ARID5A	Wald ratio	1	-0.119674579	0.046761631	1.05E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	AGT	SCZ	AGT	Wald ratio	1	-0.036253591	0.014173804	1.05E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CDK9	SCZ	CDK9	Wald ratio	1	0.080728896	0.031572565	1.06E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	BRWD1	SCZ	BRWD1	Wald ratio	1	0.055623797	0.021774272	1.06E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ELL3	ELL3	SCZ	Wald ratio	1	1.332962348	0.522010856	1.07E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ASPM	SCZ	ASPM	Wald ratio	1	-0.12043657	0.047193864	1.07E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ELAPOR2	SCZ	ELAPOR2	Wald ratio	1	0.121405102	0.047576804	1.07E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ENSG00000275572	SCZ	ENSG00000275572	Wald ratio	1	-0.087104887	0.034150474	1.08E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ZNF112	SCZ	ZNF112	Wald ratio	1	-0.082025315	0.032188507	1.08E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PRKRIP1	SCZ	PRKRIP1	Wald ratio	1	0.068459792	0.026865103	1.08E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
